any_mes;titol;imatge;miniatura;autor;lloc;data_feta;descripcio_curta;descripcio_llarga;camera;objectiu;exposicio;iso;f;credits
2026-01;IC434;assets/months/2026/2026-01.png;;Ewen Sedman;;;La nebulosa IC 434 s’estén com un vel vermellós de gas il·luminat, retallat per siluetes fosques de pols que donen profunditat i misteri a aquesta regió emblemàtica del cel d’hivern.;"Aquesta imatge mostra IC 434, una extensa nebulosa d’emissió situada a la constel·lació d’Orió, il·luminada per la radiació intensa d’estrelles joves i calentes del cinturó d’Orió. El gas d’hidrogen ionitzat brilla amb tons vermells profunds, creant un fons lluminós sobre el qual destaquen estructures de pols freda i opaca.
Entre aquestes siluetes fosques sobresurt una forma especialment reconeixible: el Cap de Cavall, una concentració de pols densa que s’interposa davant la nebulosa brillant, apareixent com un perfil negre i escultòric. Al seu entorn, el camp estel·lar és ric i complex, amb estrelles blaves joves, regions de reflexió i núvols de gas que revelen un entorn de formació estel·lar molt actiu.
La combinació de llum i ombra, de gas incandescent i pols obscura, converteix aquesta escena en una de les més icòniques de l’astronomia. IC 434 no és només una imatge estèticament poderosa, sinó també un testimoni dels processos que donen origen a noves estrelles, mostrant com la llum modela i revela les formes ocultes del medi interestel·lar.
És una fotografia que convida a observar amb calma, descobrint detalls subtils i recordant que fins i tot en les regions més fosques del cosmos s’hi amaguen les claus del naixement estel·lar.";;;;;;
2026-02;Sharpless 308;assets/months/2026/2026-02.png;;Domingo Garcia;Albufera de Mallorca.;29 de gener de 2022.;Nebulosa del cap de Dofí.;"Aquesta imatge mostra la nebulosa Sharpless 308, una extensa bombolla de gas ionitzat situada a la constel·lació del Ca Major. La seva característica tonalitat blava és el resultat de l’emissió de l’oxigen ionitzat, il·luminat per la intensa radiació de l’estrella central WR 6, una estrella Wolf-Rayet extremadament massiva i energètica.
La forma arrodonida i tancada de la nebulosa és conseqüència dels forts vents estel·lars expulsats per aquesta estrella, que han escombrat el gas circumdant durant milers d’anys, creant una estructura en forma de bombolla còsmica. En un dels seus costats, la nebulosa sembla més definida i brillant, ressaltant el perfil que li dona el nom popular de Cap de Dofí.
El fons està ple d’estrelles de la Via Làctia, que aporten profunditat i contrast a l’escena, mentre les filigranes internes del gas revelen turbulències i diferències de densitat dins la nebulosa. Aquesta imatge no només és estèticament captivadora, sinó que també il·lustra un moment breu però violent del cicle vital de les estrelles massives, just abans del seu destí final com a supernova.
És una escena que combina bellesa i energia, mostrant com fins i tot els processos més extrems de l’Univers poden donar lloc a formes sorprenentment elegants.";ASI1600MM;APM 107/700 + TS 0,79;28 lights de 600” filtres Ha i OIII;;;
2026-03;IC443;assets/months/2026/2026-03.png;;Ewen Sedman;;;La nebulosa IC 443 apareix com una closca incandescent de gas i filaments, el rastre lluminós d’una antiga explosió estel·lar en interacció amb núvols foscos del medi interestel·lar.;"Aquesta imatge mostra IC 443, coneguda com la Nebulosa de la Medusa, un romanent de supernova situat a la constel·lació dels Bessons. El que observam és l’ona de xoc d’una estrella massiva que va explotar fa desenes de milers d’anys, expandint-se encara avui a través del gas i la pols que l’envolten.
A l’esquerra de la imatge destaca la closca principal del romanent, formada per intricats filaments taronja i daurats de gas ionitzat, escalfats a temperatures extremadament altes per l’impacte de l’explosió. Aquestes estructures, fines i turbulentes, revelen la violència del fenomen i la complexa dinàmica del xoc amb el medi circumdant.
A la dreta, la supernova interactua amb un núvol molecular dens, visible com una regió més fosca i blavosa, amb vetes de pols que absorbeixen la llum de fons. Aquesta interacció frena i distorsiona l’expansió del romanent, donant a IC 443 la seva forma asimètrica i fragmentada. En aquesta zona també es produeixen processos químics i físics que poden desencadenar, amb el temps, nous episodis de formació estel·lar.
IC 443 és un exemple espectacular del cicle de la matèria còsmica: la mort violenta d’una estrella que no només transforma el seu entorn, sinó que el fertilitza, enriquint-lo amb elements pesants i energia. La imatge combina bellesa i violència, mostrant com del caos d’una supernova neixen les condicions per a futurs mons.";;;;;;
2026-04;Lluna plena amb avió;assets/months/2026/2026-04.png;;Enrique Rodriguez;Palmanova;27 d'abril de 2025;La Lluna plena s’aixeca sobre la badia de Palma tenyida de tons ataronjats, mentre la silueta d’un avió creua el seu disc en un instant efímer que uneix cel i moviment.;"A la imatge veiem la Lluna plena emergint molt baixa sobre l’horitzó, amb un color càlid i intens, fruit de la seva llum filtrada per l’atmosfera quan encara es troba prop del mar. El disc lunar, ple de detalls i textures, domina l’escena sobre un fons completament negre, reforçant la sensació de silenci i immensitat.
Just en el moment més delicat de la sortida lunar, la silueta d’un avió travessa la part inferior de la Lluna, creant un contrast potent entre la serenor eterna del satèl·lit i el dinamisme humà. Aquesta coincidència transforma la fotografia en molt més que un registre astronòmic: és una metàfora visual del viatge, de la distància i de la connexió emocional.
La composició transmet una sensació d’espera i contemplació, com si el temps s’hagués aturat durant una fracció de segon per permetre que aquests dos mons —el cel i la vida quotidiana— es trobessin.
Nota de l’autor:
“Fui a fotografiar la luna desde el paseo marítimo de el hotel Santa Lucía en Palmanova, y como el mejor momento era cuando está saliendo por la zona de Llucmajor en la otra parte de la bahía de Palma.
Mientras esperaba la salida de la luna era el momento de despegue de los aviones en el aeropuerto de Son Sant Joan.
Esta foto tiene un ligero mensaje: Contemplar la luna es contemplar a quien llevamos en el corazón…”";Nikon D7100;200mm;;;6,3;
2026-05;Startrail i aurores;assets/months/2026/2026-05.png;;Tomeu Mas;Port d'es Canonge;10 d'octubre de 2024;Un star trail captat al Port d’es Canonge mostra el moviment del cel durant dues hores, amb les estrelles girant sobre la mar mentre una aurora excepcional tenyeix l’horitzó de tons vermellosos visibles des de la nostra latitud.;"Aquesta imatge és un star trail realitzat l’1 d’octubre al Port d’es Canonge, a la costa nord de Mallorca. La fotografia és el resultat de la combinació de dues hores d’exposicions consecutives, que revelen el moviment aparent de les estrelles al voltant del pol celeste, dibuixant arcs lluminosos que reflecteixen la rotació de la Terra.
L’escena es desenvolupa sobre la mar tranquil·la, amb la línia de costa i les barques del port il·luminades suaument, aportant una escala humana al paisatge nocturn. Però l’element més extraordinari de la imatge és la presència d’aurores visibles des de la nostra latitud, un fenomen extremadament poc habitual a les Illes Balears.
A l’horitzó, el cel s’encén amb intensos tons rosats i vermellosos, produïts per l’excitació de l’oxigen atmosfèric a gran altitud a causa d’una forta tempesta geomagnètica. Aquest esclat de llum, combinat amb les traçades circulars de les estrelles, converteix la fotografia en un testimoni excepcional de la interacció entre l’activitat solar i el camp magnètic terrestre.
La imatge captura així un instant únic en què la dinàmica constant del cosmos i un fenomen rar i efímer es troben sobre un paisatge mediterrani, demostrant que fins i tot des de latituds temperades és possible observar manifestacions espectaculars de l’espai profund i del Sol.";Canon EOS 5D Mark IV;Samyang 14mm;"500 x 15""";1600;2,8;
2026-06;NGC6979;assets/months/2026/2026-06.png;;Miquel Ginard;Cap Blanc i Binifaldó;;La nebulosa NGC 6979 es desplega com un delicat vel còsmic, amb filaments lluminosos que serpentegen entre les estrelles com restes d’una antiga explosió estel·lar.;"Aquesta imatge mostra NGC 6979, una regió filamentosa del Romanent de Supernova del Vel (Veil Nebula), situat a la constel·lació del Cigne. El que observam aquí són les ones de xoc d’una supernova que va esclatar fa uns 10.000 anys, expandint-se encara avui a través del medi interestel·lar.
Els fines filaments que dominen la imatge corresponen a gas extremadament calent i ionitzat, principalment hidrogen (tons vermellosos) i oxigen doblement ionitzat (tons blavosos i verdosos). Aquests colors revelen zones amb diferents temperatures, densitats i energies, dibuixant una estructura intricada i gairebé etèria, com si el cel hagués estat esquinçat.
La forma allargada i ondulant dels filaments és el resultat de la interacció entre l’ona de xoc de la supernova i el gas circumdant, comprimint-lo i fent-lo brillar. El fons ple d’estrelles aporta profunditat i recorda que aquest fenomen, tot i la seva bellesa, és el testimoni d’un esdeveniment extremament violent en la història de la nostra galàxia.
NGC 6979 és una finestra privilegiada al cicle de la matèria còsmica: la mort d’una estrella massiva que enriqueix l’espai amb nous elements, preparant el camí per a futures generacions d’estrelles i planetes. Una imatge que combina fragilitat visual i una energia colossal amagada en cada filament.";ASI 294 MC Pro;Askar FRA 500;139 tomes de 300 seg. -10gr 50 darks 50 flats 50 DarkFlats;;;
2026-07;Via làctea i Aragó;assets/months/2026/2026-07.png;;Tomeu Mas;La mola de s'Esclop;31 de maig de 2025;Panoràmica nocturna de la Via Làctia sobre la Mola de s’Esclop, amb el resplendor urbà de Palma a l’horitzó i el paisatge de pedra seca de la Tramuntana com a testimoni del vincle històric de Mallorca amb l’astronomia.;"Aquesta panoràmica nocturna està presa a la Mola de s’Esclop, un dels balcons naturals més espectaculars de la Serra de Tramuntana, just a l’entorn de l’Observatori François Arago. La imatge mostra un arc gairebé complet de la Via Làctia dominant el cel, amb el centre galàctic destacant-se amb claredat. Al centre de l’horitzó, el nucli lluminós més intens correspon a la ciutat de Palma, el resplendor urbà de la qual s’escampa cap amunt i crea un contrast molt marcat amb la foscor relativa de l’alta muntanya. En primer terme, la roca nua i les construccions de pedra seca arrelen la fotografia al paisatge mallorquí i recorden la presència humana en un entorn aparentment salvatge.

Des del punt de vista astronòmic, aquesta imatge és especialment reveladora perquè posa en evidència la dualitat de Mallorca: una illa amb una activitat urbana intensa, però que encara conserva espais on el cel nocturn manté una qualitat notable. La Mola de s’Esclop, gràcies a la seva altitud i orientació, ha estat històricament un lloc privilegiat per observar el firmament, tant per a navegants com per a estudiosos del cel.

L’observatori porta el nom de François Arago, una figura clau de l’astronomia i la física del segle XIX, estretament vinculada a Mallorca. Arago va participar en la missió geodèsica francesa que, entre finals del segle XVIII i inicis del XIX, va utilitzar l’illa com un dels vèrtexs fonamentals per mesurar l’arc del meridià terrestre. Aquells treballs, realitzats en condicions extremes i amb instruments òptics, varen ser decisius per a la definició del metre com a unitat de longitud i varen situar Mallorca dins el mapa científic europeu.

Aquesta fotografia, per tant, va més enllà del seu valor estètic. És un testimoni visual de la relació entre el progrés humà i el cel nocturn: el resplendor de Palma recorda l’impacte de la il·luminació artificial, mentre que la Via Làctia sobre la Tramuntana simbolitza la continuïtat d’una tradició astronòmica que, des dels temps d’Arago fins a l’actualitat, fa de Mallorca un territori privilegiat on paisatge, ciència i història es troben sota un mateix cel.";Canon Eos 5D Mark IV;Samyang 14mm 2,8;"20 x 20""";1600;2,8;
2026-08;Eclipsi parcial;assets/months/2026/2026-08.png;;Olga Sans;Palma;29 de març de 2025;Seqüència de l’eclipsi parcial de Sol del 29 de març de 2025, captada des de l’escullera de Palma, que mostra el pas progressiu de la Lluna davant el disc solar.;"Aquesta imatge recull una seqüència temporal de l’eclipsi parcial de Sol del 29 de març de 2025, observat i fotografiat des de l’escullera de Palma. Al llarg de la composició es pot seguir amb claredat com la Lluna va avançant lentament davant el Sol, “mossegant” el seu disc i modificant-ne la forma aparent en cada instant.
El Sol apareix amb un to ataronjat uniforme, resultat de l’ús de filtres solars adequats que permeten una observació segura del fenomen. La successió d’imatges mostra les diferents fases de l’eclipsi: des del primer contacte, passant pel màxim del fenomen, fins al moment en què la Lluna s’allunya i el disc solar recupera la seva forma circular completa.
Aquesta composició no només documenta un esdeveniment astronòmic rellevant, sinó que també transmet la lentitud i precisió del moviment celeste, recordant que els eclipsis són el resultat d’una alineació geomètrica extraordinàriament precisa entre el Sol, la Lluna i la Terra.
La imatge actua així com un relat visual del temps astronòmic: una coreografia subtil i silenciosa que, observada des d’un punt concret del litoral mallorquí, connecta l’escala humana amb els grans mecanismes del Sistema Solar.";Canon Eos 2000S;250mm;20 fotos 1/200;100;11;
2026-09;Bolid damunt Cabrera;assets/months/2026/2026-09.png;;Pep Toni Ginard;Cap Salines;1 d’agost de 2025;Un bòlid travessa la Via Làctia sobre l’horitzó marí de Cap Salines, il·luminant la nit amb un esclat fugaç que sembla encendre el paisatge.;"Aquesta fotografia, captada a Cap Salines l’1 d’agost, mostra el centre de la Via Làctia emergint majestuosa sobre la mar, amb les seves estructures de pols fosca i núvols estel·lars ben definits. El cel nocturn, net i profund, es reflecteix suaument sobre l’aigua tranquil·la, mentre a l’horitzó es perceben febles resplendors de llum artificial llunyana.
L’element més espectacular de l’escena és el bòlid, un meteoro extremadament brillant que creua el cel deixant una traça lluminosa i intensa. La seva energia és tan gran que arriba a il·luminar tota l’escena, ressaltant el mar, la línia de costa i part del paisatge, com si fos un flaix natural sorgit del mateix Univers.
Aquest tipus de fenomen és poc freqüent i imprevisible, i converteix la imatge en un instant irrepetible: la calma eterna de la Via Làctia contrasta amb la violència breu però poderosa d’un fragment còsmic entrant a l’atmosfera terrestre. La fotografia captura així un diàleg entre el temps profund de la galàxia i la immediatesa d’un moment que dura només fraccions de segon, però que deixa una empremta inesborrable en la memòria de qui l’observa.";Nikon D750;Nikon 20mm;;6400;1.8;
2026-10;NGC7293;assets/months/2026/2026-10.png;;Domingo Garcia;Sa pobla;15 de setembre 2021.;La nebulosa NGC 7293, coneguda com la Nebulosa de l’Hèlix, destaca com un ull còsmic multicolor que sembla observar-nos des de les profunditats de l’espai.;"Aquesta imatge correspon a NGC 7293, la famosa Nebulosa de l’Hèlix, una de les nebuloses planetàries més properes a la Terra, situada a la constel·lació de l’Aquari, a uns 650 anys llum de distància. La seva estructura circular i gairebé simètrica li ha valgut sobrenoms com l’Ull de Déu o l’Ull còsmic.
El nucli central, de tonalitat blavosa, és il·luminat per la nana blanca que resta del nucli de l’estrella original, avui extremadament calenta i compacta. Al seu voltant, s’estenen capes concèntriques de gas expulsades durant les darreres fases de la vida de l’estrella, visibles en diferents colors segons la composició i el grau d’ionització: el blau prové principalment de l’oxigen ionitzat, mentre que els tons vermells i rosats corresponen a l’hidrogen i al nitrogen.
La textura filamentosa de l’anell extern revela una estructura complexa, formada per nusos de gas i pols que s’estenen cap a l’exterior com si fossin tentacles. Aquestes estructures mostren amb gran detall la interacció entre la radiació de l’estrella central i el material expulsat, oferint una finestra privilegiada als processos finals de l’evolució estel·lar de les estrelles semblants al Sol.
La Nebulosa de l’Hèlix és una imatge tan impactant com simbòlica: representa el destí llunyà del nostre propi Sol, convertint-se en una delicada closca de llum flotant en la foscor del cosmos.";ASI1600mm;"GSO 8"" + Red 0,67";32 light filtres Ha i OIII de 300”;;;
2026-11;M31;assets/months/2026/2026-11.png;;Gaspar Joan, Vicenç Rosselló;Conques, Mallorca;8 d'agost de 2022;La galàxia d’Andròmeda, M31, s’estén majestuosa en l’espai com una illa d’estrelles, mostrant el seu nucli brillant i els seus braços espirals immersos en un ric camp estel·lar.;"Aquesta imatge correspon a M31, la Galàxia d’Andròmeda, la gran galàxia espiral més propera a la Via Làctia i l’objecte més llunyà visible a ull nu des de cels foscos. Situada a uns 2,5 milions d’anys llum, Andròmeda apareix aquí amb una inclinació que permet apreciar amb claredat la seva estructura interna.
El nucli central, extremadament lluminós, domina l’escena i concentra una enorme densitat d’estrelles antigues. Al seu voltant s’estenen els braços espirals, travessats per bandes fosques de pols interestel·lar que absorbeixen la llum i dibuixen un delicat entramat de contrastos. Aquestes bandes revelen les regions on el gas i la pols juguen un paper clau en la formació de noves estrelles.
A la imatge també s’identifiquen algunes de les galàxies satèl·lit d’Andròmeda, com M32 i M110, visibles com petites taques difuses properes al disc principal, testimoni de la complexa dinàmica gravitatòria del sistema.
M31 és molt més que una galàxia espectacular: és el destí futur de la Via Làctia, amb la qual col·lisionarà d’aquí a uns 4.000 milions d’anys. Aquesta fotografia ens ofereix així una visió privilegiada no només d’un univers llunyà, sinó també d’un possible reflex del futur còsmic de la nostra pròpia galàxia.";ASI 294 MC;TS Optics 80/352;"32 lights 180""";;4.4;
2026-12;Sortida de la Lluna;assets/months/2026/2026-12.png;;Olga Sans;Punta de n'Amer;21 de juny de 2024;Seqüència de la sortida d’una Lluna plena sobre l’horitzó, mostrant el seu ascens lent mentre el color rogenc inicial es transforma progressivament en tons més neutres.;"Aquesta imatge recull una seqüència de la sortida d’una Lluna plena, capturant diferents instants del seu ascens sobre l’horitzó marí. Les diverses posicions del disc lunar, disposades en diagonal, permeten seguir visualment el moviment aparent de la Lluna a mesura que guanya altura al cel.
En els primers moments, la Lluna apareix amb intensos tons vermellosos i ataronjats, un efecte produït per la refracció i dispersió de la llum a través de les capes més denses de l’atmosfera quan el satèl·lit es troba molt baix. A mesura que s’eleva, el seu color esdevé més clar i neutre, revelant amb més detall les mars i cràters de la seva superfície.
El paisatge vegetal del primer pla aporta context i escala a l’escena, mentre el cel encara conserva la llum suau del capvespre, creant una transició delicada entre el dia i la nit. La composició posa en relleu la lentitud i majestuositat del moviment lunar, un fenomen quotidià que, observat amb atenció, es transforma en un espectacle visual ple de matisos.
Aquesta fotografia no només documenta un esdeveniment astronòmic, sinó que convida a la contemplació del pas del temps i de la relació íntima entre el cel i el paisatge, recordant-nos com els moviments del nostre satèl·lit continuen marcant el ritme natural de les nits.";Canon Eos 2000S;250mm;4 fotos 1/250;800;5,6;